"","V1","V2","V3","V4","V5"
"5115",25887.75,0.39,0.39,653.65,2001.1
"5116",26478.72,0.38,0.38,677.9,2010.53
"5117",26968.33,0.37,0.36,701.64,2021.8
"5118",28158.3,0.34,0.34,752.49,2041.64
"5119",27770.98,0.35,0.35,735.29,2034.64
"5120",29089.39,0.32,0.32,791.84,2056.11
"5121",14845.74,0.65,0.64,177.29,1733.74
"5122",15367.72,0.64,0.63,198.47,1749.22
"5123",15528.96,0.64,0.63,205.63,1754.51
"5124",15936.45,0.63,0.62,221.72,1765.61
"5125",14896.95,0.65,0.64,177.56,1733.48
"5126",15410.22,0.64,0.63,198.36,1748.62
"5127",15656.39,0.63,0.63,209.29,1756.64
"5128",16044.4,0.62,0.62,224.52,1767.03
"5129",15303.95,0.64,0.63,195.64,1747.12
"5130",15887.07,0.63,0.62,219.53,1764.04
"5131",16038.6,0.62,0.62,226.26,1768.85
"5132",16498.66,0.61,0.61,244.69,1781.16
"5133",15332.15,0.64,0.63,194.89,1746.05
"5134",15907.4,0.63,0.62,218.43,1762.69
"5135",16128.46,0.62,0.62,228.25,1769.67
"5136",16569.63,0.61,0.61,245.84,1781.33
"5137",15048.23,0.65,0.64,184.28,1738.59
"5138",15540.71,0.64,0.63,204.15,1752.89
"5139",15679.13,0.63,0.63,210.3,1757.38
"5140",16067.7,0.62,0.62,225.55,1767.76
"5141",15167.64,0.64,0.64,187.58,1740.59
"5142",15641.31,0.63,0.63,206.62,1754.15
"5143",15891.07,0.63,0.62,217.71,1762.17
"5144",16249.29,0.62,0.61,231.62,1771.45
"5145",15469.41,0.64,0.63,200.98,1750.56
"5146",16022.26,0.62,0.62,223.54,1766.33
"5147",16153.67,0.62,0.62,229.37,1770.46
"5148",16594.61,0.61,0.61,246.95,1782.09
"5149",15546.76,0.64,0.63,202.42,1751.09
"5150",16081.24,0.62,0.62,224.15,1766.19
"5151",16308.16,0.62,0.61,234.23,1773.28
"5152",16718.82,0.61,0.6,250.47,1783.86
"5153",23406.52,0.45,0.44,555.46,1962.12
"5154",24639.46,0.42,0.41,608.22,1986.1
"5155",25836.2,0.4,0.38,661.37,2010.1
"5156",26818.26,0.37,0.36,702.98,2026.97
"5157",24056.3,0.44,0.43,582.32,1973.98
"5158",25283.68,0.41,0.4,634.83,1997.16
"5159",27171.82,0.36,0.35,718.68,2033.6
"5160",28109.06,0.34,0.33,758.3,2048.76
"5161",24347.13,0.43,0.42,595.24,1980.06
"5162",25748.61,0.4,0.39,655.48,2006.38
"5163",27003.82,0.37,0.36,711.22,2030.46
"5164",28140.83,0.34,0.33,759.71,2049.33
"5165",24895,0.42,0.41,617.57,1989.32
"5166",26282.19,0.38,0.38,677.17,2014.76
"5167",28205.28,0.34,0.33,762.57,2050.49
"5168",29287.76,0.31,0.31,808.65,2067.54
"5169",23920.45,0.44,0.43,576.29,1971.11
"5170",25097.4,0.41,0.4,626.56,1993.42
"5171",26230.83,0.39,0.38,676.89,2015.77
"5172",27174.16,0.36,0.35,716.78,2031.64
"5173",24988.97,0.42,0.41,621.74,1991.22
"5174",26136.42,0.39,0.38,670.7,2011.94
"5175",28096.19,0.34,0.33,757.73,2048.53
"5176",28963.99,0.32,0.31,794.27,2061.92
"5177",24786.61,0.42,0.41,612.75,1987.11
"5178",26126.9,0.39,0.38,670.27,2011.76
"5179",27321.18,0.36,0.35,723.31,2034.37
"5180",28416.23,0.33,0.33,769.94,2052.26
"5181",25699.26,0.4,0.39,651.28,2003.41
"5182",26996.07,0.37,0.36,706.87,2026.32
"5183",28987.3,0.32,0.31,795.3,2062.33
"5184",29991.63,0.3,0.29,837.9,2077.56
"5185",15300.84,0.64,0.63,195.5,1747.02
"5186",15883.45,0.63,0.62,219.37,1763.93
